time,problem_id,problem_rating_at_time,problem_rating_now,type,av_secs,seconds,after_first,user_rating,user_rating_change,correct,wrong_move,num_moves,is_mate,non_winning,user_rd,tags
2014-05-04 00:53:50+00,25583,1225.36,1255.74,Blitz,28.2918,11,1,1292.06,15.209,1,-,2,true,false,78.8121,"Exposed King:7,Coercion:7,Interference:1"
2014-05-04 00:53:32+00,21746,1068.6,1036,Blitz,17.5975,7,1,1276.85,9.0552,1,-,2,false,false,80.7833,"Distraction:11,Attraction:3,Needs Different Opponent Move...:3"
2014-05-04 00:53:14+00,54911,1351.02,1385.66,Blitz,16.6193,6,0,1267.79,-15.748,0,1.Bxe4,1,false,false,82.3554,"Weak Back Rank:18,Overloading:11,Mate Threat:9,Distraction:8,Overloading:1"
2014-05-04 00:52:56+00,60431,1305.87,1352.36,Blitz,32.4818,18,0,1283.54,-20.4368,0,1.Qh4+,2,true,false,84.593,"Exposed King:13,Pawn Mate:11,Coercion:7,Boden's Mate:2"
2014-05-04 00:52:31+00,54247,1195.19,1259.6,Blitz,18.7399,21,1,1303.98,9.34553,1,-,2,true,false,87.1323,"Suffocation Mate:13,Exposed King:7,Clearance:6"
2014-05-04 00:52:01+00,57241,1273.49,1261.92,Blitz,22.1846,9,0,1294.63,23.2359,1,-,1,false,false,89.6898,"Hanging Piece:15,Unsound Sacrifice:4"
2014-05-04 00:51:45+00,14091,909.646,963.598,Blitz,16.3176,3,0,1271.39,5.73945,1,-,1,false,false,92.7522,Hanging Piece:5
2014-05-04 00:51:32+00,97292,1308.51,1275.43,Blitz,33.8565,15,10,1265.65,-24.3162,0,2...Rxd4,3,false,false,94.5784,"Fork:10,Pin:9,Overloading:7,Counting:7,Attraction:5,Exposed King:1"
2014-05-04 00:51:09+00,88712,1154.64,1139.2,Blitz,19.9731,12,0,1289.97,18.7396,1,-,2,false,false,98.1954,"Counting:10,Hanging Piece:4"
2014-05-04 00:50:46+00,21355,1185.78,1195.68,Blitz,17.5946,11,0,1271.23,-40.0228,0,1.c4,2,false,false,101.822,"Pin:9,Sacrifice:6,Clearance:3,File Clearance:3,Relative Pin:3,Exchange Sacrifice:3"
2014-05-04 00:50:26+00,30967,1203.27,1186.08,Blitz,17.7903,6964,0,1311.25,-45.4327,0,1...Rxf5+,1,false,false,105.821,Hanging Piece:13
2014-05-03 22:54:00+00,48708,1288.06,1294,Blitz,32.5331,8,0,1356.68,31.0036,1,-,1,false,false,109.999,"Pin:16,Needs More Moves...:10,Mate Threat:8,Needs More Moves...:5"
2014-05-03 16:11:04+00,101809,1200.39,1282.11,Blitz,33.4347,9,2,1325.68,27.8835,1,-,2,false,false,115.622,"Pin:9,Sacrifice:7,Discovered Attack:6,Fork:4,Zwischenzug:4,Gain of Tempo:1"
2014-05-03 16:10:47+00,52926,1172.78,1108.42,Blitz,9.86582,5,1,1297.8,31.4872,1,-,2,true,false,121.936,"Back Rank Mate:14,Sacrifice:12,Coercion:6,Sacrifice:3,Reload:3,Attraction:1"
2014-05-03 16:10:35+00,101162,1332.8,1360.45,Blitz,16.0307,21,0,1266.31,38.6157,1,-,1,true,false,129.5,Exposed King:10
